甲数除以乙数的商是1.5，如果甲数增加20，则甲数是乙的4倍．原来甲数=．	20/(4-1.5)*1.5=12.0	{甲数, 乙数, 商, 1.5, 增加, 20, 4倍, 原来甲数}
在一段长42米的小路两边从头到尾共栽了14棵树，每两棵之间相距多少米．	42/(14-1)=3.230769230769231	{小路, 42米, 栽, 14棵树, 两棵, 相距, 米}
某工厂女职工有128人，比男职工人数多(1/7)．该厂有男职工多少人？	128/(1+(1/7))=112.0	{工厂, 女职工, 128人, 比男职工, 多, 1/7, 男职工, 多少人}
一桶油，如果倒出3.2千克，还剩(2/3)，如果要剩下(3/4)，应倒出多少？	3.2/(1-(2/3))*(1-(3/4))=2.4	{一桶油，倒出，3.2千克，还剩，2/3，剩下，3/4，应倒出}
五年级师生共350人到美景园秋游，公交公司安排大客车和小客车各5辆，每辆大客车可以乘坐40人，每辆小客车可以乘坐多少人？	(350-40*5)/5=30.0	{五年级, 师生, 350人, 美景园, 秋游, 公交公司, 大客车, 小客车, 5辆, 40人}
元旦期间，甲店的营业额是300万元，甲店的营业额比乙店少(1/5)．乙店的营业额=多少万元？	300/(1-(1/5))=375.0	{元旦期间，甲店，营业额，300万元，比，乙店，少，1/5，乙店，营业额}
同学们收集树种．五年级收集了30千克，比六年级收集的少(2/7)，六年级收集了多少千克？	30/(1-(2/7))=42.0	{同学们, 收集, 树种, 五年级, 30千克, 比, 六年级, 少, 2/7, 六年级, 收集, 多少千克}
请列综合算式计算．(4/5)的(2/3)-0.75/(1/5)的商，结果=？	(4/5)*(2/3)-(1/5)/0.75=0.26666666666666666	{综合算式, 计算, (4/5), (2/3), -, 0.75, /, (1/5), 商, 结果}
一台液晶电视，打0.95后以3800元卖出，比原价便宜了多少元？	3800/0.95-3800=200.0	{液晶电视, 打0.95, 3800元, 卖出, 原价, 便宜}
某市前年有电话用户20万个，去年比前年增加60%，比今年已有的电话用户少20%．今年已有电话用户多少万个？	20*(1+60%)/(1-20%)=40.0	{某市, 前年, 电话用户, 20万个, 去年, 增加, 60%, 今年, 少, 20%}
学校门口的文具店新进了一批文具，其中钢笔有50枝，签字笔比钢笔的3倍还多20枝，钢笔和签字笔一共有多少枝？	50*3+20+50=220.0	{学校门口, 文具店, 新进, 一批, 文具, 钢笔, 50枝, 签字笔, 3倍, 多20枝, 一共}
甲、乙两地相距l56千米，一辆轿车行驶全程的(3/8)用了(2/3)小时，按这样的速度计算，轿车行完全程需多少时间？	1/((3/8)/(2/3))=1.7777777777777777	{甲，乙，两地，相距，l56千米，轿车，行驶，全程，(3/8)，(2/3)，小时，速度，计算，需，时间}
明德小学有6个年级，每个年级5个班，按每个班有52个学生计算，这所学校一共有学生多少人？	5*6*52=1560.0	{明德小学, 6个年级, 每个年级, 5个班, 每个班, 52个学生, 学生多少人}
一根钢条长(5/8)米，第一次用去(2/7)米，第二次用去一些后还剩全长的(1/4)，还剩多少米？	(5/8)*(1/4)=0.15625	{钢条, 5/8米, 第一次, 2/7米, 第二次, 剩, 1/4}
一个数的4倍是20.8，这个数=．	20.8/4=5.2	{数的, 4倍, 是, 20.8, 这个数}
公园里有柳树160棵，是杨树的(8/5)，杨树棵数又是槐树的(4/5)．槐树有多少棵？	160/(8/5)/(4/5)=125.0	{公园, 柳树, 160棵, 杨树, 8/5, 槐树, 4/5}
一个长方体的长是35厘米，宽是长的(4/5)，高是宽的(3/4)．这个长方体的体积=多少立方厘米？	35*(35*(4/5))*(35*(4/5)*(3/4))=20580.0	{长方体, 长, 35厘米, 宽, 4/5, 高, 3/4, 体积, 立方厘米}
在笔直的跑道一边插着46面彩旗，间隔为2米．现在要改为插31面彩旗，两端彩旗位置不变，这时间隔=多少米？	(46-1)*2/(31-1)=3.0	{笔直, 跑道, 一边, 插着, 46面, 彩旗, 间隔, 2米, 改为, 31面, 两端, 位置, 不变, 这时间隔}
计算：64.87*(2/15)/1996=．	64.87*(2/15)/1996=0.004333333333333333	{计算：64.87, *, (, 2, /, 15, ), /, 1996, =, ．}
一台碾石机(3/4)小时可以碾石(15/7)吨，照这样计算，碾1吨石需要多少小时．	(3/4)/(15/7)=0.35	{碾石机, 小时, 碾石, 吨, 计算, 吨, 小时}
水果店要运90箱桔子，运了7次，每次运9箱，还有多少箱没有运？	90-9*7=27.0	{水果店, 运, 90箱, 桔子, 7次, 每次, 运9箱, 还, 箱, 没有}
修路队第一周修路(2/5)千米，第二周修路(11/35)千米，两周正好修了全场的(2/7)，这条路长多少千米？	((2/5)+(11/35))/(2/7)=2.5	{修路队, 第一周, 修路, 2/5, 千米, 第二周, 11/35, 千米, 两周, 全场, 2/7, 路, 长}
一种压路机的前轮是圆柱形，轮宽为1.8米，直径是1米，前轮滚动一周，压路面积=多少平方米？	3.14*1*1.8=5.652	{压路机, 前轮, 圆柱形, 轮宽, 1.8米, 直径, 1米, 滚动一周, 压路面积}
王叔叔从银行借款8000元，定期3年，年利率4.54%，到期时王叔叔还银行多少利息？	8000*4.54%*3=1089.6	{王叔叔, 银行, 借款, 8000元, 定期, 3年, 年利率, 4.54%, 到期, 还银行, 利息}
新兴小学168名学生分4批去参观科技展，平均每批有多少人．	168/4=42.0	{新兴小学, 168名学生, 分4批, 参观科技展, 平均, 每批, 有多少人}
从30里减去48的(1/2)，所得的差去除3，商=？	3/(30-48*(1/2))=0.5	{30, 减去, 48, 1/2, 差, 除以, 3, 商}
小林家养了28只鸡，小东家养鸡的只数是小林家的4倍．小林和小东家一共养了多少只鸡？	28*(4+1)=140.0	{小林, 28只, 鸡, 小东, 4倍, 养, 多少只}
光明小学共有学生950人，星期一缺席2%，这一天出勤了多少人？	950*(1-2%)=931.0	{光明小学, 学生, 950人, 星期一, 缺席, 2%, 出勤}
一桶油总共有30千克，卖了多少千克，还剩下(2/3)．	30*(1-(2/3))=10.0	{一桶油, 30千克, 卖了, 还剩下, (2/3)}
某商店批发了一批苹果，批发价每千克1.20元，如果不计损耗，商店要想实现25%的利润，零售价应定为每千克多少元．	1.20*(1+25%)=1.5	{商店, 批发, 苹果, 每千克, 1.20元, 25%, 利润, 零售价}
班上有50名学生，将书分给大家，至少要拿多少本，才能保证至少有一个学生能得到两本或两本以上的书．	50+1=51.0	{班上, 50, 学生, 书, 分, 至少, 拿, 保证, 至少, 一个, 学生, 得到, 两本, 以上}
(1/15)+(4/5)与(2/3)的积，和=？	(1/15)+(4/5)*(2/3)=0.6	{提取, {(1/15), +(4/5), 与, (2/3), 的, 积, 和, =} }
24.8与7.2的和乘0.5，所得的积去除3.2，商=．	3.2/((24.8+7.2)*0.5)=0.2	{和, 乘, 0.5, 积, 去除, 商}
某乡修一条水渠，第一个月修了全长的45%，第二个月修了全长的(7/20)，还剩600米没有修，这条水渠全长=多少米？	600/(1-45%-(7/20))=3000.0	{某乡, 修, 水渠, 第一个月, 45%, 第二个月, 7/20, 剩, 600米, 全长}
小兰妈妈把1000元钱存入“教育储蓄”（假如免交利息税），定期5年，年利率为3.84%，到期可得到利息多少元．	1000*3.84%*5=192.0	{小兰妈妈, 1000元, 存入, 教育储蓄, 免交利息税, 定期, 5年, 年利率, 3.84%, 到期, 利息}
电视机厂今年生产电视机36000台，比去年少生产(1/4)，去年生产多少台？	36000/(1-(1/4))=48000.0	{电视机厂, 今年, 生产, 电视机, 36000台, 比去年, 少生产, 1/4, 去年, 多少台}
一种耳机原来一副80元，现在按原价的(4/5)销售，现在每副售价多少元？	80*(4/5)=64.0	{耳机, 原价, 80元, 现在, 4/5, 销售额, 售价}
修一条长208米的管道，前5天一共修52米，照这样计算，修完这条管道要用多少天？	208/(52/5)=20.0	{修, 208米, 管道, 前5天, 52米, 照这样计算, 用多少天}
铺一条公路，甲工程队每天铺设(2/5)千米，乙队每天铺设的是甲队的(2/3)，丙队每天铺设的是乙队的(3/4)，丙队每天铺设多少千米？	(2/5)*(2/3)*(3/4)=0.2	{铺公路, 甲工程队,每天, (2/5)千米, 乙队, 甲队, (2/3), 丙队, 乙队, (3/4), 多少千米}
海豚每小时可以游70千米，比蓝鲸的速度快(1/6)．蓝鲸每小时可以游多少千米？	70/(1+(1/6))=60.0	{海豚，每小时，游，70千米，比，蓝鲸，速度快，1/6，蓝鲸，每小时，游，多少千米}
小丽和爸爸相差25岁，爸爸今年40岁．小丽今年多少岁？	40-25=15.0	{小丽, 爸爸, 相差, 25岁, 40岁}
甲数是10.9，比乙数少1.15，甲、乙两数的和=．	10.9+1.15+10.9=22.95	{甲数, 10.9, 比乙数少, 1.15, 和}
多少吨比(2/7)吨的(3/4)少(1/7)吨．	(2/7)*(3/4)-(1/7)=0.07142857142857142	{多少吨, 比, (2/7)吨, 的, (3/4), 少, (1/7)吨}
一个平行四边形的底是4.2厘米，高是3厘米，这个平行四边形的面积=多少平方厘米．	4.2*3=12.6	{平行四边形, 底, 4.2厘米, 高, 3厘米, 面积}
把(3/4)L橙汁分装在容量是(1/4)L的小瓶里，可以装多少瓶．	(3/4)/(1/4)=3.0	{把, 3/4, L, 橙汁, 分装, 容量, 1/4, L, 小瓶, 可以装, 多少瓶}
玉米的发芽率是95%，在1平方米的田地上要保障有38棵玉米面，至少要播种多少粒玉米种子．	38/95%=40.0	{玉米, 发芽率, 95%, 1平方米, 田地, 38棵, 玉米面, 至少, 播种, 粒, 种子}
商店运来一批酸奶，卖出32件还剩28件．商店运来多少件酸奶？	32+28=60.0	{商店, 运来, 一批, 酸奶, 卖出, 32件, 还剩, 28件}
学校图书室有文艺书120本．科技书的本数是文艺书本数的(3/4)，又是故事书本数的(1/3)，故事书有多少本？	120*(3/4)/(1/3)=270.0	{学校图书室, 文艺书, 120本, 科技书, 3/4, 故事书, 1/3}
李丽和王敏同时做纸鹤，李丽每小时做12只，王敏每小时做14只，做了3小时，两个人一共做了多少只纸鹤？	(12+14)*3=78.0	{李丽, 王敏, 做纸鹤, 每小时, 12只, 14只, 3小时, 两个人, 一共, 做了, 多少只}
甲、乙两车同时从两地相对开出，6小时相遇．相遇时甲车比乙车多行60千米．已知甲乙两车的速度比是11：9，甲车每小时行多少千米？	60/(((11)/(11+9))-((9)/(11+9)))*((11)/(11+9))/6=55.0	{甲, 乙, 两车, 同时, 两地, 相对, 开出, 6小时, 相遇, 相遇时, 甲车, 比乙车, 多行, 60千米, 已知, 速度比, 11:9, 甲车, 每小时, 行, 多少千米}
小华看一本100页的小说，第一天看全书的(1/5)，第二天看了全书的(1/4)，第3天应从多少页看起．	100*((1/5)+(1/4))+1=46.0	{小华, 100页, 小说, 第一天, 全书, 1/5, 第二天, 1/4, 第3天, 从多少页, 看起}
一个数除以12商6余4，那么这个数=．	12*6+4=76.0	{数, 除以, 12, 商, 6, 余, 4, =}
一艘轮船从上海开往汉口，已经航行了全程的(3/5)，离汉口还有450千米，上海到汉口的水路有多少千米？	450/(1-(3/5))=1125.0	{轮船, 上海, 汉口, 航行, 全程, 3/5, 450千米, 水路, 千米}
一共有360千克花生，每袋装(2/5)千克．现在已装完了(3/4)．已经装完了多少袋？	360/(2/5)*(3/4)=675.0	{360千克, 花生, 每袋, (2/5)千克, 已装完, (3/4)}
工厂为抗震抢险赶制756件抢险工具．原计划每人每天做6件，派18个人来完成，为加快进度，又增加了3人，可提前几天完成任务？	756/(6*18)-756/(6*(18+3))=1.0	{工厂, 抗震抢险, 赶制, 756件, 抢险工具, 原计划, 每人每天, 6件, 18个人, 加快进度, 增加, 3人, 提前, 天, 完成任务}
老师把笔记本平均分给小红和小晶，小晶给小红40本后，小红的笔记本就是小晶的2倍，她们原来分到多少本笔记本．	40*2/(2-1)+40=120.0	{老师, 平均分, 小红, 小晶, 笔记本, 40本, 2倍, 原来, 分到}
有一筐苹果，卖出(3/4)后，又卖出4千克，这时还剩16千克，这筐苹果原有多少千克？	(4+16)/(1-(3/4))=80.0	{苹果，卖出，3/4，4千克，剩，16千克，原有}
一辆汽车，前3小时共行192千米，后2小时每小时行58千米，这辆汽车的平均速度=多少千米？	(192+58*2)/(3+2)=61.6	{汽车，3小时，192千米，2小时，每小时，58千米，平均速度}
宁海县去年实际造林比原计划增加(1/5)，实际造林600公顷，原计划造林多少公顷？	600/(1+(1/5))=500.0	{宁海县, 去年, 实际造林, 增加, 1/5, 600公顷, 原计划, 多少公顷}
元旦期间，某商场进了一批成本价为50元的书包，计划盈利率达到80%，应标价多少？	50*(1+80%)=90.0	{元旦期间，某商场，进，一批，成本价，50元，书包，计划，盈利率，80%，应标价}
学校厨房运回180千克柴油，已经烧了(5/6)，还剩多少千克？	180*(1-(5/6))=30.0	{学校, 厨房, 运回, 180千克, 柴油, 烧了, 5/6, 还剩}
比25的30倍少20的数=．	25*30-20=730.0	{比, 25, 的, 30倍, 少, 20, 的, 数}
6年一班男女生人数的比是4：5，已知男生有20人，女生有多少人．	20/4*5=25.0	{6年, 一班, 男女生, 人数, 比, 4:5, 男生, 20人, 女生}
白兔有36只，比灰兔少20%．灰兔有多少只？	36/(1-20%)=45.0	{白兔, 36只, 比灰兔, 少, 20%, 灰兔, 有多少只}
小红从家到外婆家要走558米，她用同样的速度从外婆家到小芳家走了248米，结果比从家到外婆家少用了5分钟，她平均每分钟走多少米？	(558-248)/5=62.0	{小红, 家, 外婆家, 558米, 速度, 外婆家, 小芳家, 248米, 少用, 5分钟, 平均, 每分钟, 走, 米}
学校买来89个球，其中25个是篮球，37个是排球，剩下的是皮球．皮球有多少个？	89-25-37=27.0	{学校，买来，89个，球，25个，篮球，37个，排球，剩下，皮球}
商店运来60箱水果，卖了42箱，剩下的要在3天卖完，平均每天要卖多少箱？	(60-42)/3=6.0	{商店, 运来, 60箱, 水果, 卖了, 42箱, 剩下, 3天, 卖完, 平均, 每天, 卖, 多少箱}
8名工人7天共做2632个零件，平均每名工人每天做多少个零件？	2632/7/8=47.0	{工人, 8名, 7天, 共, 2632个, 零件, 平均, 每天, 做}
养鸡场有肉鸡和蛋鸡共4500只，其中肉鸡只数占(1/3)，后来又买回一批小肉鸡，这时肉鸡只数相当于总只数的40%，此时这家养鸡场共养鸡多少只？	4500*(1-(1/3))/(1-40%)=5000.0	{养鸡场, 肉鸡, 蛋鸡, 4500只, 1/3, 小肉鸡, 40%}
加工一批零件，原计划15天做完，如果每天做300个，则提前3天做完，则原来每天做多少个．	300*(15-3)/15=240.0	{加工, 零件, 原计划, 15天, 做完, 每天, 300个, 提前, 3天, 做多少个}
我们中华人民共和国国旗的宽是长的(2/3)，如果国旗的宽为80厘米，那么它的面积=多少平方厘米？	80/(2/3)*80=9600.0	{中华人民共和国, 国旗, 宽, 长, 2/3, 80厘米, 面积, 平方厘米}
甲、乙两辆汽车分别从南京和徐州同时出发，相向而行，甲车每小时行65千米，乙车每小时行67千米，2小时后两车相距132千米，徐州和南京之间的公路长多少千米？	(65+67)*2+132=396.0	{甲，乙，两辆，汽车，分别，南京，徐州，同时，出发，相向而行，甲车，每小时，行，65千米，乙车，67千米，2小时，两车，相距，132千米，徐州，南京，之间，公路，长，多少千米？}
有一批布做儿童服装，每套用布1.5米，可做200套，如果改做成人服装，每套用布2.5米，要少做多少套？	200-1.5*200/2.5=80.0	{布, 儿童服装, 每套, 1.5米, 200套, 成人服装, 2.5米, 少做, 套}
东阳区公开招聘小学教师，报考语文的都是有360人，报考数学的教师有270人．现决定每30人编一个考室，报考数学的比报考语文的少几个考室？	(360-270)/30=3.0	{东阳区, 公开招聘, 小学教师, 报考, 语文, 360人, 数学, 270人, 每30人, 考室, 比少, 个}
18吨的(2/3)=多少吨．	18*(2/3)=12.0	{18吨, 2/3, 多少吨}
两个因数的积是3.6，如果一个因数扩大2倍，另一个因数扩大10倍，积=．	3.6*2*10=72.0	{因数, 积, 3.6, 扩大, 2倍, 10倍}
小明计划看一本厚378页的书．前7天平均每天看24页，以后平均每天多看11页，余下的书还要看多少天才能看完？	(378-24*7)/(24+11)=6.0	{小明, 计划, 看一本, 厚378页, 的书, 前7天, 平均, 每天, 看24页, 以后, 每天, 多看11页, 余下的书, 还要看, 多少天, 才能看完}
